Kind,Name,AvgCyclomatic,MaxCyclomatic,AvgCountLineCode,CountLineCode,RatioCommentToCode,CountLineComment,CountDeclClass,CountDeclClassMethod,CountLineCodeExe,MaxNesting
Abstract Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.JacksonIncompatibleOptions.setJacksonIncompatible",,,,1,0.00,0,,,0,0
Public Static Class,"org.apache.beam.runners.dataflow.DataflowRunnerTest.JacksonIncompatibleSerializer",1,1,8,10,0.00,0,,0,1,0
Public Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.JacksonIncompatibleSerializer.serialize",,,,8,0.00,0,,,1,0
Public Static Class,"org.apache.beam.runners.dataflow.DataflowRunnerTest.RegisteredTestModule",1,1,4,7,0.00,0,,0,2,0
Public Constructor,"org.apache.beam.runners.dataflow.DataflowRunnerTest.RegisteredTestModule.RegisteredTestModule",,,,4,0.00,0,,,2,0
Public Interface,"org.apache.beam.runners.dataflow.DataflowRunnerTest.RuntimeTestOptions",0,0,0,6,0.00,0,,0,0,0
Abstract Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.RuntimeTestOptions.getInput",,,,1,0.00,0,,,0,0
Abstract Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.RuntimeTestOptions.getOutput",,,,1,0.00,0,,,0,0
Abstract Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.RuntimeTestOptions.setInput",,,,1,0.00,0,,,0,0
Abstract Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.RuntimeTestOptions.setOutput",,,,1,0.00,0,,,0,0
Static Class,"org.apache.beam.runners.dataflow.DataflowRunnerTest.TestExpansionServiceClientFactory",1,1,21,44,0.00,0,,0,30,0
Public Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.TestExpansionServiceClientFactory.close",,,,3,0.00,0,,,0,0
Public Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.TestExpansionServiceClientFactory.getExpansionServiceClient",,,,38,0.00,0,,,30,0
Anonymous Class,"org.apache.beam.runners.dataflow.DataflowRunnerTest.TestExpansionServiceClientFactory.getExpansionServiceClient.(Anon_6)",1,1,11,33,0.00,0,,0,29,0
Public Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.TestExpansionServiceClientFactory.getExpansionServiceClient.(Anon_6).close",,,,3,0.00,0,,,2,0
Public Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.TestExpansionServiceClientFactory.getExpansionServiceClient.(Anon_6).discover",,,,5,0.00,0,,,4,0
Public Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.TestExpansionServiceClientFactory.getExpansionServiceClient.(Anon_6).expand",,,,24,0.00,0,,,22,0
Private Static Class,"org.apache.beam.runners.dataflow.DataflowRunnerTest.TestSink",1,1,11,35,0.00,0,,0,23,0
Constructor,"org.apache.beam.runners.dataflow.DataflowRunnerTest.TestSink.TestSink",,,,22,0.00,0,,,18,0
Anonymous Class,"org.apache.beam.runners.dataflow.DataflowRunnerTest.TestSink.TestSink.(Anon_7)",1,1,7,15,0.00,0,,0,13,0
Public Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.TestSink.TestSink.(Anon_7).unwindowedFilename",,,,5,0.00,0,,,4,0
Public Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.TestSink.TestSink.(Anon_7).windowedFilename",,,,9,0.00,0,,,8,0
Public Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.TestSink.createWriteOperation",,,,9,0.00,0,,,5,0
Anonymous Class,"org.apache.beam.runners.dataflow.DataflowRunnerTest.TestSink.createWriteOperation.(Anon_8)",1,1,4,5,0.00,0,,0,4,0
Public Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.TestSink.createWriteOperation.(Anon_8).createWriter",,,,4,0.00,0,,,3,0
Public Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.TestSink.validate",,,,2,0.00,0,,,0,0
